year,category_id,pollutant,estimate,se,n_obs
2001,1,2,35.96444556522667,4.850359815653644,5
2001,1,3,295.61278784836344,46.562325748220985,5
2001,1,87,213.9303036816128,20.631826922657673,5
2001,1,98,NA,NA,5
2001,1,100,1349.1105224621097,1029.118857206845,5
2001,2,2,110.6509851956543,22.46352314364132,5
2001,2,3,610.0887493946113,138.10940894260116,5
2001,2,87,770.2054244875573,155.0884963336008,5
2001,2,98,NA,NA,5
2001,2,100,4918.457303683314,1317.1578762976521,5
2001,3,2,40.295033093111364,24.242267585585875,5
2001,3,3,644.6032173617747,264.72245704598333,5
2001,3,87,205.4902204220181,29.168541875277302,5
2001,3,98,NA,NA,5
2001,3,100,1.965281151530392,0.5942787424612874,5
2001,4,2,16.412386315350734,3.101285801849132,5
2001,4,3,63.73226475981844,8.126583848644103,5
2001,4,87,73.48160794627542,8.895671615942396,5
2001,4,98,NA,NA,5
2001,4,100,484.5521548968992,164.9398033896049,5
2001,5,2,21.534462254569572,10.528368173501894,5
2001,5,3,55.31784501912775,12.821095232579426,5
2001,5,87,52.33455835515013,8.477942934023492,5
2001,5,98,NA,NA,5
2001,5,100,377009.5029993102,325911.7461304099,5
2001,6,2,44.41934147275342,19.033164316504422,5
2001,6,3,400.24655672485255,138.53804933455532,5
2001,6,87,479.23739421672843,189.3386669763002,5
2001,6,98,NA,NA,5
2001,6,100,44.48178150990548,22.26720171278703,5
2001,7,2,NA,NA,5
2001,7,3,NA,NA,5
2001,7,87,NA,NA,5
2001,7,98,NA,NA,5
2001,7,100,NA,NA,5
2001,8,2,99.59046443923366,13.825352694046304,5
2001,8,3,439.76975895807846,33.08237290112791,5
2001,8,87,596.1103179870294,69.71088499358198,5
2001,8,98,NA,NA,5
2001,8,100,3518.417895902537,511.5056350143207,5
2001,9,2,NA,NA,5
2001,9,3,NA,NA,5
2001,9,87,NA,NA,5
2001,9,98,NA,NA,5
2001,9,100,NA,NA,5
2001,10,2,NA,NA,5
2001,10,3,NA,NA,5
2001,10,87,NA,NA,5
2001,10,98,NA,NA,5
2001,10,100,NA,NA,5
2001,11,2,899257.8626850958,568667.5146068516,5
2001,11,3,6359905.682127764,4925261.213510364,5
2001,11,87,3875216.0153226643,3465829.427290164,5
2001,11,98,NA,NA,5
2001,11,100,7148.42967939366,4520.533735446417,5
2002,1,2,37.25071821636442,5.236042725395107,5
2002,1,3,323.2624307275858,35.55496879887256,5
2002,1,87,245.14138953904256,14.395613831025779,5
2002,1,98,NA,NA,5
2002,1,100,1863.7040899789943,1540.6446008425282,5
2002,2,2,157.75568650379643,32.73508717548209,5
2002,2,3,899.2817740387293,191.0931228474633,5
2002,2,87,1063.3080267912217,183.38254322597595,5
2002,2,98,NA,NA,5
2002,2,100,6094.2902166994545,748.7440677350984,5
2002,3,2,35.491204210055535,21.537001304871627,5
2002,3,3,539.4096480735408,252.23832275834954,5
2002,3,87,180.0140154638688,35.87673195006738,5
2002,3,98,NA,NA,5
2002,3,100,2.199555605828343,0.5285380135589696,5
2002,4,2,29.739303749217967,11.706594673391525,5
2002,4,3,76.98812344692271,8.815925363292942,5
2002,4,87,84.66037853814893,10.459282598728528,5
2002,4,98,NA,NA,5
2002,4,100,853.4437702019176,298.1056262006071,5
2002,5,2,99.79326310707458,74.41864443843832,5
2002,5,3,73.59597034138648,17.609174022296674,5
2002,5,87,70.45620776756901,13.240630953481885,5
2002,5,98,NA,NA,5
2002,5,100,411037.3604622172,317746.41304078145,5
2002,6,2,112.2023333083781,61.839499130509346,5
2002,6,3,437.09741315678355,126.33417000977651,5
2002,6,87,585.9049171140626,163.1839210675609,5
2002,6,98,NA,NA,5
2002,6,100,54.87536244837037,19.904040484530046,5
2002,7,2,NA,NA,5
2002,7,3,NA,NA,5
2002,7,87,NA,NA,5
2002,7,98,NA,NA,5
2002,7,100,NA,NA,5
2002,8,2,123.01440782559338,17.807127730558893,5
2002,8,3,419.5920991122656,38.65150960446083,5
2002,8,87,641.434988940995,57.069073365268146,5
2002,8,98,NA,NA,5
2002,8,100,3856.313046909457,430.3640105076379,5
2002,9,2,NA,NA,5
2002,9,3,NA,NA,5
2002,9,87,NA,NA,5
2002,9,98,NA,NA,5
2002,9,100,NA,NA,5
2002,10,2,NA,NA,5
2002,10,3,NA,NA,5
2002,10,87,NA,NA,5
2002,10,98,NA,NA,5
2002,10,100,NA,NA,5
2002,11,2,599506.2164745907,464329.62508126866,5
2002,11,3,4769933.99131497,4265505.831232126,5
2002,11,87,3875221.0670178724,3465827.9210521067,5
2002,11,98,NA,NA,5
2002,11,100,5014.921451356151,3598.4339707874055,5
2003,1,2,42.68282172217481,3.421077658083436,5
2003,1,3,321.82941054853956,35.846122068708446,5
2003,1,87,252.8272369041745,10.779630448016855,5
2003,1,98,NA,NA,5
2003,1,100,1982.4028324117996,1515.5844721037013,5
2003,2,2,170.85270004131215,32.38574018982671,5
2003,2,3,1089.7199652571155,264.5256792217441,5
2003,2,87,1184.8313908436573,214.3992123246166,5
2003,2,98,NA,NA,5
2003,2,100,9344.773441232077,2799.392285283914,5
2003,3,2,40.017883974905395,20.281130809781107,5
2003,3,3,491.69362749481274,244.1083643466569,5
2003,3,87,172.92771211198536,30.271839004051458,5
2003,3,98,NA,NA,5
2003,3,100,1.8980948088174536,0.5866869045855038,5
2003,4,2,28.606991310122016,12.000235275295717,5
2003,4,3,86.13697497745385,14.201287253442384,5
2003,4,87,102.69656772081049,19.109488848793568,5
2003,4,98,NA,NA,5
2003,4,100,1198.6612295086095,364.5655511327441,5
2003,5,2,100.81271692727147,74.11920203098414,5
2003,5,3,74.24847967063141,17.82234643772544,5
2003,5,87,76.17751893704904,15.098841461533898,5
2003,5,98,NA,NA,5
2003,5,100,411406.3619901048,317627.3575865147,5
2003,6,2,208.46953003215452,90.69338342585228,5
2003,6,3,555.9396904252292,135.56652988241532,5
2003,6,87,1265.7006661224405,612.6402464926099,5
2003,6,98,NA,NA,5
2003,6,100,252.60979070175472,190.50998663006123,5
2003,7,2,NA,NA,5
2003,7,3,NA,NA,5
2003,7,87,NA,NA,5
2003,7,98,NA,NA,5
2003,7,100,NA,NA,5
2003,8,2,117.53364020581502,19.500982268211754,5
2003,8,3,357.5927610455993,27.96588473199441,5
2003,8,87,569.7186487446322,65.37091517989909,5
2003,8,98,NA,NA,5
2003,8,100,3505.5637834553213,196.5322054760542,5
2003,9,2,NA,NA,5
2003,9,3,NA,NA,5
2003,9,87,NA,NA,5
2003,9,98,NA,NA,5
2003,9,100,NA,NA,5
2003,10,2,NA,NA,5
2003,10,3,NA,NA,5
2003,10,87,NA,NA,5
2003,10,98,NA,NA,5
2003,10,100,NA,NA,5
2003,11,2,599506.2164745907,464329.62508126866,5
2003,11,3,6359441.029175369,4925441.182911803,5
2003,11,87,5166877.700997337,4001986.0738629214,5
2003,11,98,NA,NA,5
2003,11,100,5014.921451356151,3598.4339707874055,5
2004,1,2,55.38310638301588,10.812457320953207,5
2004,1,3,341.09141959575965,54.822519899865405,5
2004,1,87,283.220040581116,32.172304404020124,5
2004,1,98,NA,NA,5
2004,1,100,2667.8640911637904,1446.2216291710156,5
2004,2,2,197.66066866184724,22.585195731535105,5
2004,2,3,1193.2799323433242,243.9684843494322,5
2004,2,87,1560.3477977365187,371.17299197458857,5
2004,2,98,NA,NA,5
2004,2,100,10309.176575211979,2632.8848616161567,5
2004,3,2,141.86280640941055,98.70305950219726,5
2004,3,3,507.2552232843667,258.87183964894933,5
2004,3,87,551.8355734907174,373.53486899931374,5
2004,3,98,NA,NA,5
2004,3,100,1.7852084793162453,0.520475231300535,5
2004,4,2,27.935632201275357,12.247901665660786,5
2004,4,3,97.34759120493672,14.25131855397636,5
2004,4,87,113.74417779673824,17.44805804590231,5
2004,4,98,NA,NA,5
2004,4,100,1234.7723838129298,345.42458746218756,5
2004,5,2,104.2790762738041,73.08951604473043,5
2004,5,3,92.20286794349884,16.54325634391447,5
2004,5,87,87.64516466349775,14.71499125445548,5
2004,5,98,NA,NA,5
2004,5,100,412440.82516818045,317293.95256480615,5
2004,6,2,206.56010214074308,91.20353990383104,5
2004,6,3,585.6881065929518,151.01804145794898,5
2004,6,87,1363.7937916070869,594.1897043297305,5
2004,6,98,NA,NA,5
2004,6,100,502.8490643320341,260.463857273605,5
2004,7,2,NA,NA,5
2004,7,3,NA,NA,5
2004,7,87,NA,NA,5
2004,7,98,NA,NA,5
2004,7,100,NA,NA,5
2004,8,2,120.56939037183372,17.899994119309124,5
2004,8,3,365.2252387217442,32.08084672278019,5
2004,8,87,616.4733890154967,69.10772593815128,5
2004,8,98,NA,NA,5
2004,8,100,3779.4210459607866,371.4265759414908,5
2004,9,2,NA,NA,5
2004,9,3,NA,NA,5
2004,9,87,NA,NA,5
2004,9,98,NA,NA,5
2004,9,100,NA,NA,5
2004,10,2,NA,NA,5
2004,10,3,NA,NA,5
2004,10,87,NA,NA,5
2004,10,98,NA,NA,5
2004,10,100,NA,NA,5
2004,11,2,899201.5377455188,568703.1376264784,5
2004,11,3,9538447.185716191,6032631.724269094,5
2004,11,87,7749991.791752426,4901511.091873254,5
2004,11,98,NA,NA,5
2004,11,100,7521.963048247326,4284.290489915739,5
2005,1,2,54.56091482677276,11.219335041784294,5
2005,1,3,347.635319818659,53.046500314991086,5
2005,1,87,299.3113136223494,29.48709354900607,5
2005,1,98,NA,NA,5
2005,1,100,2678.945362311578,1442.7240753871563,5
2005,2,2,201.92522255137217,20.709692678298282,5
2005,2,3,1370.4093288566883,161.1088460743614,5
2005,2,87,2169.067166800788,460.56736050970153,5
2005,2,98,NA,NA,5
2005,2,100,12141.397534183641,2473.3334826789333,5
2005,3,2,122.18500354257283,101.66625065421651,5
2005,3,3,542.0965726788152,250.37128333687116,5
2005,3,87,555.5561318320727,372.6490579957649,5
2005,3,98,NA,NA,5
2005,3,100,2.766985206789604,0.7826680463558607,5
2005,4,2,24.666868452501117,12.76378754873422,5
2005,4,3,105.08149781153378,9.86062480170587,5
2005,4,87,129.42993336666154,10.83087456836853,5
2005,4,98,NA,NA,5
2005,4,100,1153.6469419269708,396.5524812312285,5
2005,5,2,97.19978973862314,74.47716094764355,5
2005,5,3,106.430555752409,9.077639292281267,5
2005,5,87,103.20457842896886,10.548598634344026,5
2005,5,98,NA,NA,5
2005,5,100,370187.8438008045,326558.6162988893,5
2005,6,2,220.21799854686128,85.81662010083313,5
2005,6,3,485.5141817238487,168.67689781157551,5
2005,6,87,1177.4591572554205,638.0858096344722,5
2005,6,98,NA,NA,5
2005,6,100,601.7936195554208,237.43498583913097,5
2005,7,2,NA,NA,5
2005,7,3,NA,NA,5
2005,7,87,NA,NA,5
2005,7,98,NA,NA,5
2005,7,100,NA,NA,5
2005,8,2,110.93588324735546,21.053444883439877,5
2005,8,3,355.7986600583817,30.62373403885868,5
2005,8,87,617.6016419602412,68.72907115008427,5
2005,8,98,NA,NA,5
2005,8,100,4534.946406204703,666.0163400581012,5
2005,9,2,NA,NA,5
2005,9,3,NA,NA,5
2005,9,87,NA,NA,5
2005,9,98,NA,NA,5
2005,9,100,NA,NA,5
2005,10,2,NA,NA,5
2005,10,3,NA,NA,5
2005,10,87,NA,NA,5
2005,10,98,NA,NA,5
2005,10,100,NA,NA,5
2005,11,2,899201.5377455188,568703.1376264784,5
2005,11,3,9538447.185716191,6032631.724269094,5
2005,11,87,7749991.791752426,4901511.091873254,5
2005,11,98,NA,NA,5
2005,11,100,7521.963048247326,4284.290489915739,5
2006,1,2,54.6934563402604,11.208735658862642,5
2006,1,3,384.99043072126665,53.34260207993534,5
2006,1,87,338.21286434709737,35.90746944129113,5
2006,1,98,NA,NA,5
2006,1,100,3795.3558306008845,1383.6109603925677,5
2006,2,2,201.3332380786983,21.03972461928942,5
2006,2,3,1747.2054861161482,277.42854830363405,5
2006,2,87,2663.0379801048043,429.2865642667757,5
2006,2,98,NA,NA,5
2006,2,100,13741.202783571902,2426.859738961665,5
2006,3,2,120.25524474118897,102.180002031868,5
2006,3,3,580.4757502313636,238.80178398714423,5
2006,3,87,691.9009393424501,363.8025604377384,5
2006,3,98,NA,NA,5
2006,3,100,2.2649126003914937,0.8795333035186499,5
2006,4,2,26.949574904635995,12.526080008412103,5
2006,4,3,132.7604580279769,21.280052757991772,5
2006,4,87,149.00532713943878,16.40798336208228,5
2006,4,98,NA,NA,5
2006,4,100,2689.324822241702,1570.0733161936482,5
2006,5,2,95.01351890574398,75.0264416403424,5
2006,5,3,102.33983476078267,12.692205948241352,5
2006,5,87,110.63067893952845,3.9093910674962467,5
2006,5,98,NA,NA,5
2006,5,100,36390.24694740518,33456.76059933352,5
2006,6,2,539.8333908548184,285.5958134473441,5
2006,6,3,555.1884294651346,146.14489595462686,5
2006,6,87,1654.4328254257573,648.4748741055905,5
2006,6,98,NA,NA,5
2006,6,100,944.2905489860073,301.3615445011253,5
2006,7,2,NA,NA,5
2006,7,3,NA,NA,5
2006,7,87,NA,NA,5
2006,7,98,NA,NA,5
2006,7,100,NA,NA,5
2006,8,2,114.74985159508512,22.53585992989437,5
2006,8,3,453.00872410699634,107.8131236376573,5
2006,8,87,825.182084050888,252.228672008914,5
2006,8,98,NA,NA,5
2006,8,100,5850.275007682707,1093.3465819886237,5
2006,9,2,NA,NA,5
2006,9,3,NA,NA,5
2006,9,87,NA,NA,5
2006,9,98,NA,NA,5
2006,9,100,NA,NA,5
2006,10,2,NA,NA,5
2006,10,3,NA,NA,5
2006,10,87,NA,NA,5
2006,10,98,NA,NA,5
2006,10,100,NA,NA,5
2006,11,2,2.9240535807818215,NA,5
2006,11,3,18.918876586767855,NA,5
2006,11,87,22.27830327039953,NA,5
2006,11,98,NA,NA,5
2006,11,100,747.904995281133,NA,5
2007,1,2,58.46390282184032,11.100521637813443,5
2007,1,3,477.7253264762066,90.08615255411954,5
2007,1,87,457.5699559840367,113.45045355313931,5
2007,1,98,NA,NA,5
2007,1,100,2509.7552573389266,929.1171494579075,5
2007,2,2,173.9285577522891,13.040515598838848,5
2007,2,3,1699.0096780566691,287.88513099107087,5
2007,2,87,2822.350569457718,366.2501115702085,5
2007,2,98,NA,NA,5
2007,2,100,14712.928228948555,1814.025219189686,5
2007,3,2,150.6209724007465,98.91474019229356,5
2007,3,3,621.1528999333922,222.00843997355432,5
2007,3,87,753.2414236522628,342.4760087715819,5
2007,3,98,NA,NA,5
2007,3,100,2.7850835235040003,1.0999783433704617,5
2007,4,2,16.38673537732129,3.460492212387389,5
2007,4,3,156.3584105226533,26.177277077031494,5
2007,4,87,168.66269202087713,17.209597024910973,5
2007,4,98,NA,NA,5
2007,4,100,2837.5350864670977,1559.004747219987,5
2007,5,2,17.85438764071463,2.948132978780645,5
2007,5,3,93.41325180719423,11.608166039249634,5
2007,5,87,103.04229510487154,6.668422648622061,5
2007,5,98,NA,NA,5
2007,5,100,2455.5988119517874,848.3406693816431,5
2007,6,2,638.010805829219,286.14832675940045,5
2007,6,3,932.951569707594,350.0607436237304,5
2007,6,87,2287.7492849883724,704.3173053925029,5
2007,6,98,NA,NA,5
2007,6,100,1118.441813827303,209.3831013362502,5
2007,7,2,NA,NA,5
2007,7,3,NA,NA,5
2007,7,87,NA,NA,5
2007,7,98,NA,NA,5
2007,7,100,NA,NA,5
2007,8,2,101.34175067189466,15.68657223634619,5
2007,8,3,535.9470802613318,117.47803653968434,5
2007,8,87,1082.8521613671826,330.01126095357847,5
2007,8,98,NA,NA,5
2007,8,100,5534.389612977629,1254.9233457676817,5
2007,9,2,NA,NA,5
2007,9,3,NA,NA,5
2007,9,87,NA,NA,5
2007,9,98,NA,NA,5
2007,9,100,NA,NA,5
2007,10,2,NA,NA,5
2007,10,3,NA,NA,5
2007,10,87,NA,NA,5
2007,10,98,NA,NA,5
2007,10,100,NA,NA,5
2007,11,2,NA,NA,5
2007,11,3,NA,NA,5
2007,11,87,NA,NA,5
2007,11,98,NA,NA,5
2007,11,100,NA,NA,5
2008,1,2,61.987353438248185,10.806595896480944,5
2008,1,3,516.3677754330067,77.33496445093046,5
2008,1,87,561.5420389443232,112.27232923767187,5
2008,1,98,NA,NA,5
2008,1,100,10059.39205360544,7203.77674229957,5
2008,2,2,181.81257359606371,17.596876777603338,5
2008,2,3,2473.680245900777,854.7621195232505,5
2008,2,87,4135.714042935113,1037.6317338924837,5
2008,2,98,NA,NA,5
2008,2,100,19829.282910658905,6619.539875855935,5
2008,3,2,150.50224531673288,98.95223967490244,5
2008,3,3,600.7397058713946,224.21754015042222,5
2008,3,87,782.613831136171,333.10444785641516,5
2008,3,98,NA,NA,5
2008,3,100,10585.545127722726,10582.3244617187,5
2008,4,2,14.776467523987323,4.056111306274311,5
2008,4,3,145.76283507031158,30.480150340472175,5
2008,4,87,147.80245827420384,27.336611910706697,5
2008,4,98,NA,NA,5
2008,4,100,2465.944225929895,1642.371921906672,5
2008,5,2,25.52467421291919,7.671282032117884,5
2008,5,3,106.52140597683238,18.472966044507388,5
2008,5,87,146.82791390762856,45.02255307545657,5
2008,5,98,NA,NA,5
2008,5,100,3163.7021252808754,1054.5384634975892,5
2008,6,2,772.4896110627333,300.2954314510941,5
2008,6,3,939.7974308449584,349.645202989428,5
2008,6,87,2572.0382204272237,877.8883919480161,5
2008,6,98,NA,NA,5
2008,6,100,1633.6970989408028,530.7478188982612,5
2008,7,2,NA,NA,5
2008,7,3,NA,NA,5
2008,7,87,NA,NA,5
2008,7,98,NA,NA,5
2008,7,100,NA,NA,5
2008,8,2,111.22610318843552,15.989041490087903,5
2008,8,3,641.7816812737817,101.08161438161467,5
2008,8,87,1258.3290988114509,282.1459530244401,5
2008,8,98,NA,NA,5
2008,8,100,10463.467620049478,4604.525617692395,5
2008,9,2,NA,NA,5
2008,9,3,NA,NA,5
2008,9,87,NA,NA,5
2008,9,98,NA,NA,5
2008,9,100,NA,NA,5
2008,10,2,NA,NA,5
2008,10,3,NA,NA,5
2008,10,87,NA,NA,5
2008,10,98,NA,NA,5
2008,10,100,NA,NA,5
2008,11,2,NA,NA,5
2008,11,3,NA,NA,5
2008,11,87,NA,NA,5
2008,11,98,NA,NA,5
2008,11,100,NA,NA,5
2009,1,2,54.261266705736745,6.313736584697028,5
2009,1,3,514.6533816464912,77.1214797474777,5
2009,1,87,622.7602263202735,107.4473924599233,5
2009,1,98,NA,NA,5
2009,1,100,9768.739479576827,7276.0526290900225,5
2009,2,2,177.12890135278337,16.21846727027364,5
2009,2,3,2646.783603692756,806.3597200746399,5
2009,2,87,4032.410379569107,1075.3263756095023,5
2009,2,98,NA,NA,5
2009,2,100,19664.99984684278,6680.040368669595,5
2009,3,2,45.08441935090737,31.068504340871414,5
2009,3,3,457.371420282413,82.97779540871743,5
2009,3,87,687.5414825287148,245.28484126684532,5
2009,3,98,NA,NA,5
2009,3,100,11105.895012458317,10464.349402033242,5
2009,4,2,21.376814746436896,6.322297991792087,5
2009,4,3,162.80815850525832,31.626078798813833,5
2009,4,87,161.64421878900265,27.928304465656122,5
2009,4,98,30.69243273584853,NA,5
2009,4,100,2541.5600058057157,1621.9830351532958,5
2009,5,2,21.783781170241596,8.726590246272142,5
2009,5,3,109.61029213001203,19.405520946640774,5
2009,5,87,163.26552143244623,44.5298855195316,5
2009,5,98,NA,NA,5
2009,5,100,3879.1746305423944,1538.704654918463,5
2009,6,2,803.8109838375794,284.10129025346873,5
2009,6,3,832.8842743879327,365.3994211800641,5
2009,6,87,2881.5642497022986,799.7526489577523,5
2009,6,98,0.09088135860775415,NA,5
2009,6,100,1435.1933072745917,598.8632846161312,5
2009,7,2,NA,NA,5
2009,7,3,NA,NA,5
2009,7,87,NA,NA,5
2009,7,98,NA,NA,5
2009,7,100,NA,NA,5
2009,8,2,119.05120706387973,14.928058805990863,5
2009,8,3,729.4357933642399,96.36788829467994,5
2009,8,87,1333.1674722350122,255.91564216186083,5
2009,8,98,624.8332726719899,NA,5
2009,8,100,11589.763374061062,4407.160422323358,5
2009,9,2,NA,NA,5
2009,9,3,NA,NA,5
2009,9,87,NA,NA,5
2009,9,98,NA,NA,5
2009,9,100,NA,NA,5
2009,10,2,NA,NA,5
2009,10,3,NA,NA,5
2009,10,87,NA,NA,5
2009,10,98,NA,NA,5
2009,10,100,NA,NA,5
2009,11,2,NA,NA,5
2009,11,3,NA,NA,5
2009,11,87,NA,NA,5
2009,11,98,NA,NA,5
2009,11,100,NA,NA,5
2010,1,2,73.00072449358416,13.195337181472247,5
2010,1,3,642.4139634586318,93.25821153153386,5
2010,1,87,871.0344942601507,185.67042144194227,5
2010,1,98,0.31647820624899736,NA,5
2010,1,100,11705.940860603,6934.088157793271,5
2010,2,2,167.22149506608525,19.615150494195714,5
2010,2,3,2984.1178928497584,737.9415745099542,5
2010,2,87,4070.6612052429346,1072.431327489131,5
2010,2,98,NA,NA,5
2010,2,100,19066.807177256713,6811.829653209616,5
2010,3,2,89.9847023388325,49.738359733799314,5
2010,3,3,425.35017430357107,97.0411048441686,5
2010,3,87,768.7974571297382,217.4203952660976,5
2010,3,98,NA,NA,5
2010,3,100,11469.030085515047,10373.957334601078,5
2010,4,2,27.7688521281316,6.724474880652046,5
2010,4,3,185.25899941887783,26.880289545234216,5
2010,4,87,208.49235358219846,48.9500863474158,5
2010,4,98,30.69243273584853,NA,5
2010,4,100,3545.889884089879,1546.4238293350065,5
2010,5,2,21.714506069025756,8.72010141026732,5
2010,5,3,115.7484119460245,20.231234789168905,5
2010,5,87,172.7270129815836,43.26091303960769,5
2010,5,98,NA,NA,5
2010,5,100,5690.493137587682,2269.8617253327434,5
2010,6,2,864.5631562757768,251.52561109962608,5
2010,6,3,1032.7208784034137,327.814393361872,5
2010,6,87,3396.0128902200095,469.8113796909523,5
2010,6,98,0.09088135860775415,NA,5
2010,6,100,1462.490392792321,589.5297172225298,5
2010,7,2,NA,NA,5
2010,7,3,NA,NA,5
2010,7,87,NA,NA,5
2010,7,98,NA,NA,5
2010,7,100,NA,NA,5
2010,8,2,223.03344481377576,91.02541984101467,5
2010,8,3,904.7328904742926,85.52025931929555,5
2010,8,87,2064.6381963209537,553.0119595631618,5
2010,8,98,624.8332726719899,NA,5
2010,8,100,13605.094972324416,4325.920624308689,5
2010,9,2,NA,NA,5
2010,9,3,NA,NA,5
2010,9,87,NA,NA,5
2010,9,98,NA,NA,5
2010,9,100,NA,NA,5
2010,10,2,NA,NA,5
2010,10,3,NA,NA,5
2010,10,87,NA,NA,5
2010,10,98,NA,NA,5
2010,10,100,NA,NA,5
2010,11,2,38.76945413577087,NA,5
2010,11,3,6.096035915949345,NA,5
2010,11,87,25.281419244646305,NA,5
2010,11,98,NA,NA,5
2010,11,100,NA,NA,5
2011,1,2,128.4524099953799,51.471492766710995,5
2011,1,3,882.8885410378692,211.5631309220286,5
2011,1,87,1123.2248960756417,208.37393929641914,5
2011,1,98,0.31647820624899736,NA,5
2011,1,100,12921.820234305918,6776.890428614954,5
2011,2,2,176.8234065839397,20.286641987340566,5
2011,2,3,3364.5954592534085,805.5331444263388,5
2011,2,87,4372.227810043449,1077.3936432334558,5
2011,2,98,NA,NA,5
2011,2,100,21108.538274824696,6936.043342282694,5
2011,3,2,126.88864001618322,48.17049500744417,5
2011,3,3,433.6834305926366,96.04036093567397,5
2011,3,87,1023.7606372820393,353.6309675042338,5
2011,3,98,NA,NA,5
2011,3,100,12598.564113824861,10120.170840177614,5
2011,4,2,51.9591290544907,24.738474030176953,5
2011,4,3,261.14819183816695,86.97823218918448,5
2011,4,87,305.5525200699471,107.62480714608664,5
2011,4,98,7646.96082600683,4816.951078777468,5
2011,4,100,5301.9924692732275,3171.618189312295,5
2011,5,2,22.568311424957763,8.609524007420779,5
2011,5,3,148.20717306540192,22.093190137396935,5
2011,5,87,205.87772865998284,41.939036607965804,5
2011,5,98,NA,NA,5
2011,5,100,6518.285694744966,1978.2109832333101,5
2011,6,2,616.4019145551563,167.96919969603326,5
2011,6,3,990.6423093862106,347.32127512752504,5
2011,6,87,3515.6286066143252,437.3511162925537,5
2011,6,98,0.09088135860775415,NA,5
2011,6,100,1109.59425900514,638.0919032645402,5
2011,7,2,NA,NA,5
2011,7,3,NA,NA,5
2011,7,87,NA,NA,5
2011,7,98,NA,NA,5
2011,7,100,NA,NA,5
2011,8,2,365.15423875264196,154.07521226829078,5
2011,8,3,900.5450873442176,86.07947365321948,5
2011,8,87,2886.984042125628,936.1979209475993,5
2011,8,98,624.8332726719899,NA,5
2011,8,100,18182.074770786472,5527.3769145307815,5
2011,9,2,NA,NA,5
2011,9,3,NA,NA,5
2011,9,87,NA,NA,5
2011,9,98,NA,NA,5
2011,9,100,NA,NA,5
2011,10,2,NA,NA,5
2011,10,3,NA,NA,5
2011,10,87,NA,NA,5
2011,10,98,NA,NA,5
2011,10,100,NA,NA,5
2011,11,2,38.76945413577087,NA,5
2011,11,3,7.6109096306772495,0.9580902612120675,5
2011,11,87,25.281419244646305,NA,5
2011,11,98,NA,NA,5
2011,11,100,NA,NA,5
2012,1,2,154.44218845884856,49.96641232045222,5
2012,1,3,1077.769138409199,269.0824929214269,5
2012,1,87,1388.32237200075,287.80079597373117,5
2012,1,98,7843.193311294248,4960.270840145261,5
2012,1,100,14768.798424346236,6233.600606104106,5
2012,2,2,201.4893252588144,23.53002679892377,5
2012,2,3,3938.2043057496535,634.2036913438526,5
2012,2,87,5244.213058848665,1053.488644331963,5
2012,2,98,2.8181433177070336,NA,5
2012,2,100,22996.314011143135,6513.143780893753,5
2012,3,2,155.55485897147835,61.09746736537512,5
2012,3,3,586.7928287888591,155.29959469704323,5
2012,3,87,1286.3820506705342,331.84939442011864,5
2012,3,98,NA,NA,5
2012,3,100,14894.619524709642,9655.700155731622,5
