id,pollutant,category_id,r.squared,sigma,statistic,df.residual,pollutant_label,category
1,2,1,0.9232923629342148,0.2865018484751983,216.65720870221867,18,CO,Congestion/Traffic
2,3,1,0.9680038892661332,0.15458842179665513,544.5683743164325,18,NO<sub>x</sub>,Congestion/Traffic
3,87,1,0.9856405656249144,0.14889875916038509,1235.5312693953351,18,VOCs,Congestion/Traffic
4,98,1,0.7924399347117914,2.666426535817432,34.36094222895434,9,CO<sub>2</sub>,Congestion/Traffic
5,100,1,0.8273363123029005,0.7313749386285795,86.24890282418298,18,PM<sub>10</sub>,Congestion/Traffic
6,2,2,0.8261823471330251,0.29506907298698887,85.5568004923852,18,CO,Bicycle/Pedestrians
7,3,2,0.9926688880618597,0.0821227275087358,2437.2892046777197,18,NO<sub>x</sub>,Bicycle/Pedestrians
8,87,2,0.9771531024473902,0.1426970482691676,769.8531410468789,18,VOCs,Bicycle/Pedestrians
9,98,2,0.11592278672154535,4.518282421594802,0.9178604480050488,7,CO<sub>2</sub>,Bicycle/Pedestrians
10,100,2,0.7483174723372118,0.25090260233729,53.51867142766832,18,PM<sub>10</sub>,Bicycle/Pedestrians
11,2,3,0.7807113490669945,1.2063212864510413,64.08359130039585,18,CO,STP
12,3,3,0.6030335413976305,0.7483768178798216,27.3438813530342,18,NO<sub>x</sub>,STP
13,87,3,0.8967280285990394,0.4616499995359503,156.29705035951878,18,VOCs,STP
14,98,3,0.7056672992828211,2.3761889248706267,14.385094776694,6,CO<sub>2</sub>,STP
15,100,3,0.4873945156191718,3.048131253124719,17.114723795321943,18,PM<sub>10</sub>,STP
16,2,4,0.507947091533839,0.35149261746942073,18.58143197671573,18,CO,Ridesharing
17,3,4,0.8635621273004673,0.21909930754771653,113.92817832655679,18,NO<sub>x</sub>,Ridesharing
18,87,4,0.9500303727352557,0.18812657679584788,342.21881661502334,18,VOCs,Ridesharing
19,98,4,0.8672576547197552,1.500010215180182,65.33391080960686,10,CO<sub>2</sub>,Ridesharing
20,100,4,0.8566033627823977,0.8256762355859842,107.52595618184031,18,PM<sub>10</sub>,Ridesharing
21,2,5,3.70179544990664e-6,0.6859960790744607,6.663256475844455e-5,18,CO,Travel Demand
22,3,5,0.9359994135617346,0.17012913944783095,263.2474229023307,18,NO<sub>x</sub>,Travel Demand
23,87,5,0.9642646700529346,0.16086532164231837,485.70319867378527,18,VOCs,Travel Demand
24,98,5,0.8102395529963262,3.094014863431655,29.88861462191054,7,CO<sub>2</sub>,Travel Demand
25,100,5,0.17750610013539375,1.78380457916729,3.884660789536611,18,PM<sub>10</sub>,Travel Demand
26,2,6,0.4850807731367197,2.565306769489153,16.014886827121302,17,CO,Inspect/Maintenance
27,3,6,0.52230332663909,1.8233624281671803,19.68081505227611,18,NO<sub>x</sub>,Inspect/Maintenance
28,87,6,0.7625393889602646,1.0825625581873761,57.8020453210574,18,VOCs,Inspect/Maintenance
29,98,6,0.6186273525428386,5.141587257023105,14.598965631144138,9,CO<sub>2</sub>,Inspect/Maintenance
30,100,6,0.058977114786775794,0.9682487178671926,1.1281214121816192,18,PM<sub>10</sub>,Inspect/Maintenance
31,2,7,0.3524374353748332,0.3356170019324552,3.265513987012239,6,CO,Alt. Fuels & Vehicles
32,3,7,0.7943196111230901,0.3040574712020842,23.17147343391459,6,NO<sub>x</sub>,Alt. Fuels & Vehicles
33,87,7,0.015992360110976055,0.3322187713711036,0.0975136338135322,6,VOCs,Alt. Fuels & Vehicles
34,98,7,0.01093101176312595,0.3158248804346479,0.06631091598137173,6,CO<sub>2</sub>,Alt. Fuels & Vehicles
35,100,7,0.800139091345379,0.8827166972994142,24.020878221706575,6,PM<sub>10</sub>,Alt. Fuels & Vehicles
36,2,8,0.8993877064393025,0.3202291666615071,160.90457878431084,18,CO,Transit Improvements
37,3,8,0.9206616848273663,0.2507397777395207,208.8765092986091,18,NO<sub>x</sub>,Transit Improvements
38,87,8,0.9729324662811599,0.20151628313758754,647.0033278603182,18,VOCs,Transit Improvements
39,98,8,0.6433643347065994,2.6500949644922653,18.0398203914157,10,CO<sub>2</sub>,Transit Improvements
40,100,8,0.9105867113838557,0.5063239692819926,183.31235835955997,18,PM<sub>10</sub>,Transit Improvements
41,2,9,0.13993183799514233,1.754203897698566,0.9761912660663191,6,CO,Freight/Intermodal
42,3,9,0.3091049546546078,0.18250207707974556,2.6843870721355083,6,NO<sub>x</sub>,Freight/Intermodal
43,87,9,0.8216063884452013,0.315715502068351,27.63349139975749,6,VOCs,Freight/Intermodal
45,100,9,0.8369822993886278,0.9053372302728857,30.805819107360406,6,PM<sub>10</sub>,Freight/Intermodal
46,2,10,0.8209113758711353,0.7625051312108784,27.502965524391144,6,CO,Advanced Diesel
47,3,10,0.9434437634089081,0.1959666498984884,100.08909576817658,6,NO<sub>x</sub>,Advanced Diesel
48,87,10,0.6659472480228417,0.7056642843797412,11.961235057899675,6,VOCs,Advanced Diesel
49,98,10,0.7572999023920417,0.22300065620077403,18.72186892026721,6,CO<sub>2</sub>,Advanced Diesel
50,100,10,0.6331085549425702,0.3818265142339607,10.353611077142492,6,PM<sub>10</sub>,Advanced Diesel
51,2,11,0.5716566453530971,3.1619724837153522,20.01863595471204,15,CO,Other
52,3,11,0.4539621824085694,4.295465962366558,12.470624774974208,15,NO<sub>x</sub>,Other
53,87,11,0.4250400144807003,4.006578543294257,11.08877204985336,15,VOCs,Other
54,98,11,0.47086334048658257,2.467445480237558,4.449354736823358,5,CO<sub>2</sub>,Other
55,100,11,0.00221908778019697,2.555846826706106,0.026688276991710457,12,PM<sub>10</sub>,Other
1,2,NA,0.32734700126040506,2.106627004456144,7.432482250377558,168,CO,Overall
2,3,NA,0.2637481398562859,2.0319811539827977,5.503728726127116,169,NO<sub>x</sub>,Overall
3,87,NA,0.4061931827847265,1.8757010935813336,10.509485867741732,169,VOCs,Overall
4,98,NA,0.5728805298725685,3.9575700447893674,11.266628630846194,84,CO<sub>2</sub>,Overall
5,100,NA,0.503447295664854,1.897935972063907,15.300445057720315,166,PM<sub>10</sub>,Overall
